"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"formula_logo";1;"LOGO";;;
2;"J9";"XbeeSocket";1;"XbeeConnector";;;
3;"U4";"LQFP-64_10x10mm_P0.5mm";1;"STM32F446RETx";;;
4;"C24,C23";"C_0805_HandSoldering";2;"4.7nF";;;
5;"U1,U2";"SOIC-8";2;"CAN";;;
6;"D4,D3";"ESDCAN24-2BLY";2;"D_TVS_x2_AAC";;;
7;"D8,D5,D6,D7,D9";"LED_0805_2012Metric";5;"LED";;;
8;"D1";"DO-214-AC";1;"D_Vin_TVS";;;
9;"J1";"PinHeader_1x01_P1.00mm_Vertical";1;"PWR";;;
10;"J2";"PinHeader_1x01_P1.00mm_Vertical";1;"GND";;;
11;"U3";"TO-263-7_TabPin8";1;"WPMDH1200601";;;
12;"X1";"osc_3.2x2.5";1;"IQXO-70";;;
13;"C8,C21,C22";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"33uF";;;
14;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
15;"D2";"DO-214AC";1;"D";;;
16;"C1,C4,C5,C10,C11,C12,C13,C14,C15,C25";"C_0805_HandSoldering";10;"100nF";;;
17;"C2,C3,C18,C20";"C_0805_HandSoldering";4;"10uF";;;
18;"C6,C7";"C_0805_HandSoldering";2;"0.022uF";;;
19;"C9";"C_0805_HandSoldering";1;"4.7uF";;;
20;"C16,C19";"C_0805_HandSoldering";2;"10nF";;;
21;"C17";"C_0805_HandSoldering";1;"220nF";;;
22;"J10";"PinHeader_1x04_P2.54mm_Vertical";1;"SWCON";;;
23;"R1,R2,R3,R16";"L_0805_HandSoldering";4;"R";;;
24;"R4,R5,R7,R8";"L_0805_HandSoldering";4;"60";;;
25;"R6";"L_0805_HandSoldering";1;"51k";;;
26;"R9";"L_0805_HandSoldering";1;"1.07k";;;
27;"R10";"L_0805_HandSoldering";1;"3.32k";;;
28;"R11,R12,R13,R15,R17";"L_0805_HandSoldering";5;"160";;;
29;"R14";"L_0805_HandSoldering";1;"100";;;
30;"J6";"PinHeader_1x01_P2.54mm_Vertical";1;"CAN0HI";;;
31;"J11";"PinHeader_1x01_P2.54mm_Vertical";1;"CAN0LO";;;
32;"J12";"PinHeader_1x01_P2.54mm_Vertical";1;"CAN1HI";;;
33;"J13";"PinHeader_1x01_P2.54mm_Vertical";1;"CAN1LO";;;
34;"J18";"testpoint";1;"C1RX";;;
35;"J19";"testpoint";1;"C1TX";;;
36;"J20";"testpoint";1;"C0RX";;;
37;"J21";"testpoint";1;"C0TX";;;
